ts,prompt_id,variant,compression_mode,compression_outcome,compression_rejection_reason,compression_valid,logit_entropy,gap_state_to_candidates,operator_strength,risk_score,candidate_coherence,candidate_variance,degeneracy_ratio_topk,degenerate,topk_overlap_vs_raw,top1_match_vs_raw,rank_correlation_vs_raw,raw_token_count,attempted_token_count,effective_token_count,token_delta,attempted_token_delta,attempted_tokens_saved,tokens_saved,compression_ratio,delta_vs_raw_logit_entropy,delta_vs_raw_gap_state_to_candidates,delta_vs_raw_candidate_coherence,delta_vs_raw_degeneracy_ratio_topk
20260308T144644Z,anchored_01,raw,none,none,,True,5.122995376586914,0.6914474964141846,0.5492606163024902,0.5487922593057463,0.9101140670774309,0.006637285684897878,0.2,False,1.0,True,1.0,4,,4,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T144644Z,anchored_01,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,5.122995376586914,0.6914474964141846,0.5492606163024902,0.5487922593057463,0.9101140670774309,0.006637285684897878,0.2,False,1.0,True,1.0,4,203,4,0.0,-202.0,-202,0.0,1.0,0.0,0.0,0.0,0.0
20260308T144644Z,anchored_02,raw,none,none,,True,5.1633124351501465,8.245718002319336,8.110383033752441,1.0,0.6638556566966416,0.010885276849163836,0.7,False,1.0,True,1.0,7,,7,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T144644Z,anchored_02,compressed,compressed,compressed_shorter,,True,4.978479385375977,8.082024574279785,7.906073570251465,1.0,0.955689527386555,0.003700625861092202,0.8,True,0.7,True,0.1785714285714286,7,4,4,3.0,3.0,3,3.0,0.5714285714285714,-0.18483304977416992,-0.16369342803955078,0.2918338706899134,0.10000000000000009
20260308T144644Z,anchored_03,raw,none,none,,True,6.335186004638672,4.5175981521606445,4.418461322784424,1.0,0.5637600530133643,0.009292866432483301,0.3,False,1.0,True,1.0,5,,5,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T144644Z,anchored_03,compressed,compressed,compressed_shorter,,True,5.50913143157959,7.29202938079834,7.165345191955566,1.0,0.7776441597625884,0.005928542162908695,0.6,False,0.0,False,,5,4,5,0.0,1.0,1,0.0,1.0,-0.826054573059082,2.7744312286376953,0.2138841067492241,0.3
20260308T144644Z,reasoning_01,raw,none,none,,True,6.467029094696045,3.9511687755584717,3.7612380981445312,1.0,0.8950136454883234,0.010595117476847531,0.1,False,1.0,True,1.0,8,,8,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T144644Z,reasoning_01,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,6.467029094696045,3.9511687755584717,3.7612380981445312,1.0,0.8950136454883234,0.010595117476847531,0.1,False,1.0,True,1.0,8,7,8,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
20260308T144644Z,reasoning_02,raw,none,none,,True,5.923001766204834,3.962442636489868,3.8189280033111572,1.0,0.7745643316831143,0.013519265367174464,0.0,False,1.0,True,1.0,8,,8,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
20260308T144644Z,reasoning_02,compressed,raw_fallback,compressed_longer_rejected,non_compressive_or_expansive,True,5.923001766204834,3.962442636489868,3.8189280033111572,1.0,0.7745643316831143,0.013519265367174464,0.0,False,1.0,True,1.0,8,9,8,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
